Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
BANCO SAFRA S A / 0001-28,Blog do Torcedor,01/02/2024,300 x 600,2,0,"R$0,01 ","0,006","5,0"
BANCO SAFRA S A / 0001-28,JC HTML,01/02/2024,300 x 250,31,0,"R$0,16 ","0,096","5,1613"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 250,128,1,"R$0,64 ","0,384","5,0"
BANCO SAFRA S A / 0001-28,Portal NE10,01/02/2024,300 x 600,84,0,"R$0,42 ","0,252","5,0"
BANCO SAFRA S A / 0001-28,Rádio Jornal,01/02/2024,300 x 250,862,0,"R$4,32 ","2,592","5,0116"
BANCO SAFRA S A / 0001-28,Rádio Jornal,01/02/2024,300 x 600,26,0,"R$0,13 ","0,078","5,0"
BANCO SAFRA S A / 0001-28,TV Jornal,01/02/2024,300 x 250,93,0,"R$0,47 ","0,282","5,0538"
BANCO SAFRA S A / 0001-28,TV Jornal,01/02/2024,300 x 600,15,0,"R$0,08 ","0,048","5,3333"
BANCO SAFRA S A / 0001-28,TV Jornal,01/02/2024,300 x 250,1,0,"R$0,01 ","0,006","10,0"
BANCO SAFRA S A / 0001-28,TV Jornal,01/02/2024,300 x 600,152,0,"R$0,76 ","0,456","5,0"
BRILUX,TV Jornal,01/02/2024,300 x 250,4441,2,"R$0,00 ","0,0","0,0"
BRILUX,TV Jornal,01/02/2024,320 x 50,1879,1,"R$0,00 ","0,0","0,0"
BRILUX,TV Jornal,01/02/2024,970 x 250,157,0,"R$0,00 ","0,0","0,0"
BRILUX,TV Jornal,01/02/2024,320 x 50,2468,1,"R$0,00 ","0,0","0,0"
BRILUX,TV Jornal,01/02/2024,300 x 250,107,0,"R$0,00 ","0,0","0,0"
BRILUX,TV Jornal,01/02/2024,320 x 50,161,0,"R$0,00 ","0,0","0,0"
Banco do Brasil/0001-91,Portal NE10,01/02/2024,480 x 360v,11,0,"R$0,54 ","0,324","49,0909"
Banco do Brasil/0001-91,Portal NE10,01/02/2024,480 x 360v,28,0,"R$1,38 ","0,828","49,2857"
Banco do Brasil/0001-91,Interior,01/02/2024,480 x 360v,2,0,"R$0,10 ","0,06","50,0"
Banco do Brasil/0001-91,Jamildo,01/02/2024,480 x 360v,2260,8,"R$111,19 ","66,714","49,1991"
Banco do Brasil/0001-91,Portal NE10,01/02/2024,480 x 360v,4,0,"R$0,20 ","0,12","50,0"
Banco do Brasil/0001-91,Social 1,01/02/2024,480 x 360v,932,6,"R$45,85 ","27,51","49,1953"
Banco do Brasil/0001-91,Blog do Torcedor,01/02/2024,480 x 360v,513,3,"R$25,24 ","15,144","49,2008"
Banco do Brasil/0001-91,JC Online,01/02/2024,480 x 360v,2,0,"R$0,10 ","0,06","50,0"
Banco do Brasil/0001-91,JC Online,01/02/2024,480 x 360v,109,0,"R$5,36 ","3,216","49,1743"
Banco do Brasil/0001-91,Rádio Jornal,01/02/2024,480 x 360v,2,0,"R$0,10 ","0,06","50,0"
Banco do Brasil/0001-91,TV Jornal,01/02/2024,480 x 360v,8,0,"R$0,39 ","0,234","48,75"
CAMPANHA INSTITUCIONAL CARUARU,Interior,01/02/2024,300 x 600,14,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL CARUARU,Interior,01/02/2024,970 x 250,7,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL CARUARU,Interior,01/02/2024,Nativo,12,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,300 x 250,6,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,728 x 90,1,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,970 x 250,7,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,Nativo,58,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,300 x 100,10,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,320 x 100,8,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,320 x 50,39,0,"R$0,00 ","0,0","0,0"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,01/02/2024,728 x 90,111,0,"R$0,00 ","0,0","0,0"
