Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,09/07/2024,970 x 250,478,0,"9,44 ","5,664","R$19,75 ","71,97%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,08/07/2024,970 x 250,339,0,"6,70 ","4,02","R$19,75 ","97,94%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",Portal NE10,09/07/2024,970 x 250,559,0,"11,04 ","6,624","R$19,75 ","97,85%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,1 x 1,96,0,"0,84 ","0,504","R$8,70 ","73,96%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,300 x 250,47,0,"0,41 ","0,246","R$8,70 ","55,32%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,300 x 600,73,0,"0,64 ","0,384","R$8,70 ","38,36%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,320 x 50,54,0,"0,47 ","0,282","R$8,70 ","83,33%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,728 x 90,76,0,"0,66 ","0,396","R$8,70 ","60,53%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,970 x 250,115,0,"1,00 ","0,6","R$8,70 ","73,91%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,1 x 1,31,0,"0,27 ","0,162","R$8,70 ","70,97%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,300 x 250,44,0,"0,38 ","0,228","R$8,70 ","77,27%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,300 x 600,5,0,"0,04 ","0,024","R$8,70 ","20,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,320 x 50,77,0,"0,67 ","0,402","R$8,70 ","77,92%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,728 x 90,1,0,"0,01 ","0,006","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,970 x 250,1,0,"0,01 ","0,006","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,1 x 1,44,0,"0,38 ","0,228","R$8,70 ","77,27%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,300 x 250,52,0,"0,45 ","0,27","R$8,70 ","61,54%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,300 x 600,13,0,"0,11 ","0,066","R$8,70 ","61,54%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,320 x 50,51,0,"0,44 ","0,264","R$8,70 ","74,51%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,1 x 1,372,0,"3,24 ","1,944","R$8,70 ","97,31%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,300 x 250,37,0,"0,32 ","0,192","R$8,70 ","72,97%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,300 x 600,14,0,"0,12 ","0,072","R$8,70 ","35,71%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,320 x 50,48,1,"0,42 ","0,252","R$8,70 ","79,17%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,05/07/2024,1 x 1,72,0,"0,63 ","0,378","R$8,70 ","73,61%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,05/07/2024,300 x 600,2,0,"0,02 ","0,012","R$8,70 ","50,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,05/07/2024,320 x 50,4,0,"0,03 ","0,018","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,06/07/2024,1 x 1,44,0,"0,38 ","0,228","R$8,70 ","72,73%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,06/07/2024,300 x 600,2,0,"0,02 ","0,012","R$8,70 ","50,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,06/07/2024,320 x 50,5,0,"0,04 ","0,024","R$8,70 ","80,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,07/07/2024,1 x 1,19,0,"0,17 ","0,102","R$8,70 ","42,11%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,07/07/2024,320 x 50,8,0,"0,07 ","0,042","R$8,70 ","25,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,08/07/2024,1 x 1,57,0,"0,50 ","0,3","R$8,70 ","78,95%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,08/07/2024,300 x 250,2,0,"0,02 ","0,012","R$8,70 ","50,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,08/07/2024,300 x 600,12,0,"0,10 ","0,06","R$8,70 ","66,67%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,08/07/2024,320 x 50,2,0,"0,02 ","0,012","R$8,70 ","50,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,320 x 50,75,0,"0,65 ","0,39","R$8,70 ","92,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,01/07/2024,728 x 90,479,0,"4,17 ","2,502","R$8,70 ","93,32%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,320 x 50,452,0,"3,93 ","2,358","R$8,70 ","94,03%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,02/07/2024,728 x 90,176,0,"1,53 ","0,918","R$8,70 ","90,91%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,320 x 50,89,0,"0,77 ","0,462","R$8,70 ","83,15%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,03/07/2024,728 x 90,63,0,"0,55 ","0,33","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,320 x 50,43,0,"0,37 ","0,222","R$8,70 ","86,05%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,04/07/2024,728 x 90,94,0,"0,82 ","0,492","R$8,70 ","90,43%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,05/07/2024,320 x 50,59,0,"0,51 ","0,306","R$8,70 ","89,83%"
(VENDAS DIRETAS SJCC)  PITU,Portal NE10,05/07/2024,728 x 90,67,0,"0,58 ","0,348","R$8,70 ","100,00%"
