Advertiser,Ad unit,Date,Creative size,Advertiser ID,Ad unit ID,Total impressions,Total clicks,Total CPM and CPC revenue (R$),Total average eCPM (R$),Total Active View % viewable impressions
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/2/2024,300 x 100,4597768744,",10869286,11238766,21737767482,22834637125,",17,0,"R$0,00 ","R$0,00 ","94,12%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/2/2024,320 x 100,4597768744,",10869286,11238766,21737767482,22834637125,",96,0,"R$0,00 ","R$0,00 ","96,88%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/2/2024,320 x 50,4597768744,",10869286,11238766,21737767482,22834637125,",65,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/2/2024,728 x 90,4597768744,",10869286,11238766,21737767482,22834637125,",1,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/2/2024,970 x 90,4597768744,",10869286,11238766,21737767482,22834637125,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/2/2024,Native,4597768744,",10869286,11238766,21737767482,22834637125,",55,0,"R$0,00 ","R$0,00 ","85,45%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,300 x 250,4597768744,",10869286,11238766,21737767482,23201951482,",37,0,"R$0,00 ","R$0,00 ","78,38%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,320 x 50,4597768744,",10869286,11238766,21737767482,23201951482,",22,0,"R$0,00 ","R$0,00 ","63,64%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,728 x 90,4597768744,",10869286,11238766,21737767482,23201951482,",5,0,"R$0,00 ","R$0,00 ","20,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,970 x 250,4597768744,",10869286,11238766,21737767482,23201951482,",105,0,"R$0,00 ","R$0,00 ","71,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,970 x 90,4597768744,",10869286,11238766,21737767482,23201951482,",2,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,Native,4597768744,",10869286,11238766,21737767482,23201951482,",11,0,"R$0,00 ","R$0,00 ","45,45%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/2/2024,300 x 250,4597768744,",10869286,11238766,21737767482,23201951482,",14,0,"R$0,00 ","R$0,00 ","85,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/2/2024,320 x 50,4597768744,",10869286,11238766,21737767482,23201951482,",12,0,"R$0,00 ","R$0,00 ","8,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/2/2024,970 x 250,4597768744,",10869286,11238766,21737767482,23201951482,",28,0,"R$0,00 ","R$0,00 ","42,86%"
