Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,728 x 90,237,0,"R$0,00 ","0,0","R$0,00 ","89,87%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,01/05/2024,300 x 250,29,0,"R$0,00 ","0,0","R$0,00 ","44,83%"
(Venda Direta SJCC) PERDIGÃO,Portal NE10,02/05/2024,300 x 250,53,0,"R$0,00 ","0,0","R$0,00 ","69,81%"
(Venda Direta SJCC) PERDIGÃO,Interior,01/05/2024,300 x 250,112,0,"R$0,00 ","0,0","R$0,00 ","56,25%"
(Venda Direta SJCC) PERDIGÃO,Interior,01/05/2024,320 x 50,94,0,"R$0,00 ","0,0","R$0,00 ","75,53%"
(Venda Direta SJCC) PERDIGÃO,Interior,02/05/2024,300 x 250,103,0,"R$0,00 ","0,0","R$0,00 ","67,96%"
(Venda Direta SJCC) PERDIGÃO,Interior,02/05/2024,300 x 600,1,0,"R$0,00 ","0,0","R$0,00 ","200,00%"
(Venda Direta SJCC) PERDIGÃO,Interior,02/05/2024,320 x 50,31,0,"R$0,00 ","0,0","R$0,00 ","70,97%"
(Venda Direta SJCC) PERDIGÃO,Interior,02/05/2024,970 x 250,1,0,"R$0,00 ","0,0","R$0,00 ","2300,00%"
(Venda Direta SJCC) PERDIGÃO,Interior,01/05/2024,320 x 50,58,0,"R$0,00 ","0,0","R$0,00 ","94,83%"
