Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
BANCO SAFRA S A / 0001-28,Social 1,21/02/2024,300 x 600,2,0,"R$0,01 ","0,006",,"R$5,02 ","50,00%"
BANCO SAFRA S A / 0001-28,Portal NE10,21/02/2024,300 x 600,12,0,"R$0,06 ","0,036",,"R$5,02 ","91,67%"
BANCO SAFRA S A / 0001-28,Rádio Jornal,21/02/2024,300 x 600,3,0,"R$0,02 ","0,012",,"R$5,02 ","0,00%"
BANCO SAFRA S A / 0001-28,Rádio Jornal,21/02/2024,300 x 600,6,0,"R$0,03 ","0,018",,"R$5,02 ","100,00%"
BANCO SAFRA S A / 0001-28,TV Jornal,21/02/2024,300 x 600,13,0,"R$0,07 ","0,042",,"R$5,02 ","61,54%"
BANCO SAFRA S A / 0001-28,TV Jornal,21/02/2024,300 x 600,134,0,"R$0,67 ","0,402",,"R$5,02 ","97,01%"
BANCO SAFRA S A / 0001-28,Interior,21/02/2024,300 x 600,6,0,"R$0,03 ","0,018",,"R$5,02 ","100,00%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,300 x 250,15,0,"R$0,10 ","0,06",,"R$6,61 ","40,00%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,970 x 250,5,0,"R$0,03 ","0,018",,"R$6,61 ","100,00%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,300 x 250,46,0,"R$0,30 ","0,18",,"R$6,61 ","69,57%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,970 x 250,20,0,"R$0,13 ","0,078",,"R$6,61 ","78,95%"
BRASKEM S.A  / 0035-10,Interior,21/02/2024,300 x 250,10,0,"R$0,07 ","0,042",,"R$6,61 ","30,00%"
BRASKEM S.A  / 0035-10,JC Online,21/02/2024,300 x 100,1,0,"R$0,01 ","0,006",,"R$6,61 ","0,00%"
BRASKEM S.A  / 0035-10,JC Online,21/02/2024,300 x 250,6197,19,"R$40,96 ","24,576",,"R$6,61 ","58,49%"
BRASKEM S.A  / 0035-10,JC Online,21/02/2024,970 x 250,276,0,"R$1,82 ","1,092",,"R$6,61 ","65,09%"
BRASKEM S.A  / 0035-10,Jamildo,21/02/2024,300 x 250,12930,31,"R$85,47 ","51,282",,"R$6,61 ","46,60%"
BRASKEM S.A  / 0035-10,Jamildo,21/02/2024,300 x 250,336,0,"R$2,22 ","1,332",,"R$6,61 ","64,78%"
BRASKEM S.A  / 0035-10,Jamildo,21/02/2024,970 x 250,146,0,"R$0,97 ","0,582",,"R$6,61 ","76,03%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,300 x 250,5,0,"R$0,03 ","0,018",,"R$6,61 ","60,00%"
BRASKEM S.A  / 0035-10,Social 1,21/02/2024,300 x 250,10624,25,"R$70,22 ","42,132",,"R$6,61 ","59,45%"
BRASKEM S.A  / 0035-10,Social 1,21/02/2024,970 x 250,119,0,"R$0,79 ","0,474",,"R$6,61 ","84,87%"
BRASKEM S.A  / 0035-10,Blog do Torcedor,21/02/2024,300 x 250,347,1,"R$2,29 ","1,374",,"R$6,61 ","52,45%"
BRASKEM S.A  / 0035-10,Blog do Torcedor,21/02/2024,970 x 250,21,0,"R$0,14 ","0,084",,"R$6,61 ","52,38%"
BRASKEM S.A  / 0035-10,JC HTML,21/02/2024,300 x 250,50,0,"R$0,33 ","0,198",,"R$6,61 ","62,00%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,300 x 250,55,0,"R$0,36 ","0,216",,"R$6,61 ","63,64%"
BRASKEM S.A  / 0035-10,Portal NE10,21/02/2024,970 x 250,11,0,"R$0,07 ","0,042",,"R$6,61 ","72,73%"
