Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),7/1/2024,970 x 250,4606036202,",10869286,11238766,21268726,",2,0,"R$0,01 ","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,22834992269,",202,0,"R$1,35 ","R$6,67 ","95,05%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » o-viral (22667687894),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,21725415585,22667687894,",10,0,"R$0,07 ","R$6,67 ","90,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/1/2024,300 x 250,4606036202,",10869286,11238766,21268726,21725415585,22503128490,",268,0,"R$1,79 ","R$6,67 ","74,25%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,21725415585,22503128490,",750,0,"R$5,00 ","R$6,67 ","94,93%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » anchor (22835572852),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,21725415585,22503128490,22835572852,",43,0,"R$0,29 ","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544),7/1/2024,300 x 250,4606036202,",10869286,11238766,21268726,21725415585,22462745544,",3,0,"R$0,02 ","R$6,67 ","66,67%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,21725415585,22462745544,",7,0,"R$0,05 ","R$6,67 ","85,71%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544) » anchor (22835339397),7/1/2024,320 x 50,4606036202,",10869286,11238766,21268726,21725415585,22462745544,22835339397,",122,0,"R$0,81 ","R$6,67 ","97,54%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),7/1/2024,300 x 250,4606036202,",10869286,11238766,21268726,21814348402,22691595903,",7,0,"R$0,05 ","R$6,67 ","42,86%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),7/1/2024,320 x 50,4606036202,",10869286,11238766,21722702436,",5,0,"R$0,03 ","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),7/1/2024,320 x 50,4606036202,",10869286,11238766,21722702436,22835337900,",1,0,"R$0,01 ","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,300 x 250,4606036202,",10869286,11238766,21719551231,",2,0,"R$0,01 ","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,320 x 50,4606036202,",10869286,11238766,21719551231,",11,0,"R$0,07 ","R$6,67 ","90,91%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),7/1/2024,320 x 50,4606036202,",10869286,11238766,21719551231,22834993604,",5,0,"R$0,03 ","R$6,67 ","100,00%"
