Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Interior,17/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,12/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,13/01/2024,0 x 0,2,0,"R$0,01 ","0,006","5,0"
Áudio (0x0),Interior,01/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,04/01/2024,0 x 0,7,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,09/01/2024,0 x 0,8,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,10/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,02/01/2024,0 x 0,8,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,04/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,07/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,09/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,10/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,11/01/2024,0 x 0,9,1,"R$0,01 ","0,006","1,1111"
Áudio (0x0),Interior,12/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,13/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,15/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,16/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,17/01/2024,0 x 0,18,0,"R$0,01 ","0,006","0,5556"
Áudio (0x0),Interior,11/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,17/01/2024,0 x 0,5,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,05/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,12/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,12,0,"R$0,06 ","0,036","5,0"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,4,0,"R$0,01 ","0,006","2,5"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,7,0,"R$0,02 ","0,012","2,8571"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,3,0,"R$0,01 ","0,006","3,3333"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,01/01/2024,0 x 0,16248,2,"R$33,53 ","20,118","2,0636"
Áudio (0x0),JC Online,02/01/2024,0 x 0,21473,4,"R$40,42 ","24,252","1,8824"
Áudio (0x0),JC Online,03/01/2024,0 x 0,42417,3,"R$81,09 ","48,654","1,9117"
Áudio (0x0),JC Online,04/01/2024,0 x 0,23124,2,"R$64,11 ","38,466","2,7724"
Áudio (0x0),JC Online,05/01/2024,0 x 0,17691,2,"R$48,56 ","29,136","2,7449"
Áudio (0x0),JC Online,06/01/2024,0 x 0,11662,4,"R$33,91 ","20,346","2,9077"
Áudio (0x0),JC Online,07/01/2024,0 x 0,9999,2,"R$30,03 ","18,018","3,0033"
Áudio (0x0),JC Online,08/01/2024,0 x 0,9695,16,"R$29,59 ","17,754","3,0521"
Áudio (0x0),JC Online,09/01/2024,0 x 0,7103,4,"R$27,76 ","16,656","3,9082"
Áudio (0x0),JC Online,10/01/2024,0 x 0,7392,3,"R$25,60 ","15,36","3,4632"
Áudio (0x0),JC Online,11/01/2024,0 x 0,33187,4,"R$93,04 ","55,824","2,8035"
Áudio (0x0),JC Online,12/01/2024,0 x 0,75642,4,"R$226,31 ","135,786","2,9919"
Áudio (0x0),JC Online,13/01/2024,0 x 0,32798,3,"R$101,03 ","60,618","3,0804"
Áudio (0x0),JC Online,14/01/2024,0 x 0,16073,2,"R$48,86 ","29,316","3,0399"
Áudio (0x0),JC Online,15/01/2024,0 x 0,31255,11,"R$72,89 ","43,734","2,3321"
Áudio (0x0),JC Online,16/01/2024,0 x 0,35485,7,"R$80,41 ","48,246","2,266"
Áudio (0x0),JC Online,17/01/2024,0 x 0,47229,5,"R$127,17 ","76,302","2,6926"
Áudio (0x0),Jamildo,01/01/2024,0 x 0,54808,0,"R$92,66 ","55,596","1,6906"
Áudio (0x0),Jamildo,02/01/2024,0 x 0,27932,0,"R$43,19 ","25,914","1,5463"
Áudio (0x0),Jamildo,03/01/2024,0 x 0,26647,0,"R$43,72 ","26,232","1,6407"
Áudio (0x0),Jamildo,04/01/2024,0 x 0,21663,0,"R$43,74 ","26,244","2,0191"
Áudio (0x0),Jamildo,05/01/2024,0 x 0,30644,0,"R$65,51 ","39,306","2,1378"
Áudio (0x0),Jamildo,06/01/2024,0 x 0,14945,0,"R$39,67 ","23,802","2,6544"
Áudio (0x0),Jamildo,07/01/2024,0 x 0,20441,0,"R$46,59 ","27,954","2,2792"
Áudio (0x0),Jamildo,08/01/2024,0 x 0,11566,0,"R$33,88 ","20,328","2,9293"
Áudio (0x0),Jamildo,09/01/2024,0 x 0,10620,0,"R$35,69 ","21,414","3,3606"
Áudio (0x0),Jamildo,10/01/2024,0 x 0,9476,0,"R$33,05 ","19,83","3,4878"
Áudio (0x0),Jamildo,11/01/2024,0 x 0,14857,0,"R$44,13 ","26,478","2,9703"
Áudio (0x0),Jamildo,12/01/2024,0 x 0,18139,0,"R$53,67 ","32,202","2,9588"
Áudio (0x0),Jamildo,13/01/2024,0 x 0,19386,0,"R$60,20 ","36,12","3,1053"
Áudio (0x0),Jamildo,14/01/2024,0 x 0,8909,0,"R$30,05 ","18,03","3,373"
Áudio (0x0),Jamildo,15/01/2024,0 x 0,8570,0,"R$21,26 ","12,756","2,4807"
Áudio (0x0),Jamildo,16/01/2024,0 x 0,8592,0,"R$23,25 ","13,95","2,706"
Áudio (0x0),Jamildo,17/01/2024,0 x 0,8196,0,"R$22,59 ","13,554","2,7562"
Áudio (0x0),JC Online,01/01/2024,0 x 0,14,0,"R$0,02 ","0,012","1,4286"
Áudio (0x0),JC Online,02/01/2024,0 x 0,38,0,"R$0,04 ","0,024","1,0526"
Áudio (0x0),JC Online,03/01/2024,0 x 0,13,0,"R$0,01 ","0,006","0,7692"
Áudio (0x0),JC Online,04/01/2024,0 x 0,15,0,"R$0,02 ","0,012","1,3333"
Áudio (0x0),JC Online,05/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,06/01/2024,0 x 0,8,0,"R$0,01 ","0,006","1,25"
Áudio (0x0),JC Online,07/01/2024,0 x 0,6,0,"R$0,01 ","0,006","1,6667"
Áudio (0x0),JC Online,08/01/2024,0 x 0,7,0,"R$0,01 ","0,006","1,4286"
Áudio (0x0),JC Online,09/01/2024,0 x 0,7,0,"R$0,01 ","0,006","1,4286"
Áudio (0x0),JC Online,10/01/2024,0 x 0,7,0,"R$0,01 ","0,006","1,4286"
Áudio (0x0),JC Online,11/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,12/01/2024,0 x 0,11,0,"R$0,02 ","0,012","1,8182"
Áudio (0x0),JC Online,13/01/2024,0 x 0,12,0,"R$0,01 ","0,006","0,8333"
Áudio (0x0),JC Online,14/01/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Áudio (0x0),JC Online,15/01/2024,0 x 0,12,0,"R$0,01 ","0,006","0,8333"
Áudio (0x0),JC Online,16/01/2024,0 x 0,6,0,"R$0,01 ","0,006","1,6667"
Áudio (0x0),JC Online,17/01/2024,0 x 0,8,0,"R$0,01 ","0,006","1,25"
Áudio (0x0),JC Online,01/01/2024,0 x 0,8960,25,"R$11,57 ","6,942","1,2913"
Áudio (0x0),JC Online,02/01/2024,0 x 0,23988,23,"R$20,52 ","12,312","0,8554"
Áudio (0x0),JC Online,03/01/2024,0 x 0,20504,27,"R$16,36 ","9,816","0,7979"
